source_path,ean,ext,size,mtime,match_score,target_path
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura Shorts - Natural Skin 2.webp,8903289123397,.webp,99810,1762688223.1908784,0.42857142857142855,D:\shopping-admin\public\new-images\8903289123397.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\White Plus 7.webp,8903289123908,.webp,55680,1762688237.5914853,0.4,D:\shopping-admin\public\new-images\8903289123908.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\TOPS\TOPS\Ruffle Top\Wild Rose 8.webp,8903289125995,.webp,312720,1762688262.7092314,0.3333333333333333,D:\shopping-admin\public\new-images\8903289125995.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Cinnamon 5.webp,8903289126350,.webp,59518,1762688230.488475,0.6,D:\shopping-admin\public\new-images\8903289126350.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Pink Punch 5.webp,8903289126596,.webp,72252,1762688232.2914865,0.6666666666666666,D:\shopping-admin\public\new-images\8903289126596.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Cotton Churidar Legging -599\Olive.webp,8903289126862,.webp,30858,1762688235.0036407,0.3333333333333333,D:\shopping-admin\public\new-images\8903289126862.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Gold Mine 7.webp,8903289126879,.webp,105744,1762688236.0021133,0.5,D:\shopping-admin\public\new-images\8903289126879.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Bronze Medal 5.webp,8903289127715,.webp,123386,1762688235.7303278,0.5,D:\shopping-admin\public\new-images\8903289127715.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Curious Copper 6.webp,8903289127760,.webp,102202,1762688235.788948,0.5,D:\shopping-admin\public\new-images\8903289127760.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Viscose Kurti Pant 599\Anthrazite Grey 6.webp,8903289135567,.webp,181390,1762688228.108878,0.4,D:\shopping-admin\public\new-images\8903289135567.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Cotton Churidar Legging -599\Vapour Violet 6.webp,8903289140233,.webp,121106,1762688235.603896,0.3333333333333333,D:\shopping-admin\public\new-images\8903289140233.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\New Leaf 5.webp,8903289143180,.webp,162194,1762688231.933473,0.42857142857142855,D:\shopping-admin\public\new-images\8903289143180.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\TOPS\SHRUGS\Georgette Shrug\mint-olive-shrug 7.webp,8903289143302,.webp,224530,1762688255.5118556,0.2857142857142857,D:\shopping-admin\public\new-images\8903289143302.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Sleek Kurti Pant 649\Navy Classic 5.webp,8903289143562,.webp,87632,1762688227.7418854,0.4444444444444444,D:\shopping-admin\public\new-images\8903289143562.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Sleek Kurti Pant 649\Caramel Custard 6.webp,8903289143623,.webp,113190,1762688227.0104916,0.4444444444444444,D:\shopping-admin\public\new-images\8903289143623.webp
